Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Num.Trips,Station,Latitude,Longitude,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.826443444304325,Dundas St W / Edna Ave,43.6572627,-79.4526909,0,1.05436691546675,1.69578209200521
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.733435894290933,Landsdowne Subway Green P,43.6647888,-79.4635996,0,0.96447265934813,1.6917854865219
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.644689646369788,Queen St W / Close Ave,43.6407312,-79.4359476,0,0.879301050798612,1.6927343662401
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.751685383685991,Bloor St W / Dundas St W,43.6563348,-79.4524245,0,0.982065569425771,1.6921673525838
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.745478704551631,Queen St W / Cowan Ave,43.6413253,-79.4331243,0,0.976079483905896,1.6920154011941
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.714260034875821,Salem Ave / Bloor St W,43.6606625,-79.4316443,0,2.35996643856186,3.61036165025071
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.714908493889859,Liberty St / Fraser Ave Green P,43.6416978,-79.4236547,0,2.36021653818309,3.61036298431707
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.859514854020242,Lansdowne Ave / Whytock Ave,43.6538351,-79.4411144,0,2.41968801157026,3.61356802243625
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.711944109825687,Rusholme Park Cres / College St W,43.6529203,-79.4296335,0,2.35907443141462,3.61035783632944
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.591886555226727,Queen St W / Gladstone Ave,43.6425333,-79.4271162,0,2.31553646283558,3.61219433789259
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.738623566403234,Sterling Rd / Dundas St W,43.6506776,-79.4430582,0,2.36946711185577,3.61049178951206
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.760949083886528,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.4327637,0,2.37835887462212,3.61075538196271
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.790963472536268,Bloor GO / UP Station/ Rail Path,43.6580286,-79.4508945,0,2.39058941571237,3.61132723480442
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.769934873081049,Dufferin St / Bloor St,43.6598576,-79.4353285,0,2.38198742009508,3.61090042983448
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.816623922091756,Cariboo St / Rail Path,43.6666942,-79.4583445,0,2.40129386473396,3.61201382983409
